"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"43","0.59","GOTERM_BP_DIRECT","DNA repair","10","644","279","20756","1.34","5.02e-1","1.00e+0","1.16","1.00e+0","1.00e+0","3.66e-1","ENSDARG00000029944,ENSDARG00000040303,ENSDARG00000058893,ENSDARG00000016994,ENSDARG00000092305,ENSDARG00000057114,ENSDARG00000059556,ENSDARG00000103422,ENSDARG00000043685,ENSDARG00000098780"
"44","0.58","UP_KW_MOLECULAR_FUNCTION","Metalloprotease","7","352","114","11803","0.94","1.24e-1","1.00e+0","2.06","1.00e+0","1.00e+0","5.41e-2","ENSDARG00000017676,ENSDARG00000112495,ENSDARG00000079068,ENSDARG00000102478,ENSDARG00000011769,ENSDARG00000029011,ENSDARG00000068187"
"44","0.58","INTERPRO","Pept_M10A","3","719","25","23408","0.40","1.78e-1","1.00e+0","3.91","1.00e+0","1.00e+0","4.02e-2","ENSDARG00000017676,ENSDARG00000112495,ENSDARG00000009825"
"44","0.58","INTERPRO","M10A_MMP","3","719","25","23408","0.40","1.78e-1","1.00e+0","3.91","1.00e+0","1.00e+0","4.02e-2","ENSDARG00000017676,ENSDARG00000112495,ENSDARG00000009825"
"44","0.58","INTERPRO","Pept_M10_metallopeptidase","3","719","25","23408","0.40","1.78e-1","1.00e+0","3.91","1.00e+0","1.00e+0","4.02e-2","ENSDARG00000017676,ENSDARG00000112495,ENSDARG00000009825"
"44","0.58","GOTERM_BP_DIRECT","collagen catabolic process","3","644","25","20756","0.40","1.81e-1","1.00e+0","3.87","1.00e+0","1.00e+0","4.12e-2","ENSDARG00000017676,ENSDARG00000112495,ENSDARG00000009825"
"44","0.58","UP_SEQ_FEATURE","BINDING:in inhibited form","3","656","27","21277","0.40","2.01e-1","1.00e+0","3.60","1.00e+0","1.00e+0","4.93e-2","ENSDARG00000017676,ENSDARG00000112495,ENSDARG00000102478"
"44","0.58","GOTERM_MF_DIRECT","metallopeptidase activity","8","637","162","21154","1.07","2.16e-1","1.00e+0","1.64","1.00e+0","1.00e+0","1.17e-1","ENSDARG00000017676,ENSDARG00000112495,ENSDARG00000079068,ENSDARG00000102478,ENSDARG00000022599,ENSDARG00000089706,ENSDARG00000009825,ENSDARG00000068187"
"44","0.58","INTERPRO","MetalloPept_cat_dom_sf","5","719","88","23408","0.67","2.85e-1","1.00e+0","1.85","1.00e+0","1.00e+0","1.34e-1","ENSDARG00000017676,ENSDARG00000112495,ENSDARG00000079068,ENSDARG00000102478,ENSDARG00000009825"
"44","0.58","GOTERM_MF_DIRECT","metalloendopeptidase activity","6","637","120","21154","0.81","2.94e-1","1.00e+0","1.66","1.00e+0","1.00e+0","1.54e-1","ENSDARG00000017676,ENSDARG00000112495,ENSDARG00000079068,ENSDARG00000102478,ENSDARG00000009825,ENSDARG00000068187"
