"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"12","0.25","UP_KW_CELLULAR_COMPONENT","Cell membrane","14","78","2700","16344","11.48","5.13e-1","1.00e+0","1.09","1.00e+0","1.00e+0","4.13e-1","ENSDARG00000026862,ENSDARG00000021787,ENSDARG00000040816,ENSDARG00000004497,ENSDARG00000004597,ENSDARG00000044767,ENSDARG00000017108,ENSDARG00000014098,ENSDARG00000006396,ENSDARG00000069028,ENSDARG00000016818,ENSDARG00000041292,ENSDARG00000058815,ENSDARG00000102254"
"12","0.25","UP_KW_PTM","Glycoprotein","16","36","3432","8073","13.11","5.48e-1","1.00e+0","1.05","1.00e+0","1.00e+0","4.70e-1","ENSDARG00000045580,ENSDARG00000103184,ENSDARG00000051853,ENSDARG00000021787,ENSDARG00000004497,ENSDARG00000079175,ENSDARG00000044767,ENSDARG00000017108,ENSDARG00000034862,ENSDARG00000014098,ENSDARG00000006396,ENSDARG00000069028,ENSDARG00000016818,ENSDARG00000074808,ENSDARG00000102254,ENSDARG00000056938"
"12","0.25","UP_KW_PTM","Disulfide bond","12","36","2655","8073","9.84","6.35e-1","1.00e+0","1.01","1.00e+0","1.00e+0","5.40e-1","ENSDARG00000051853,ENSDARG00000014098,ENSDARG00000039730,ENSDARG00000006396,ENSDARG00000069028,ENSDARG00000016818,ENSDARG00000004497,ENSDARG00000004597,ENSDARG00000044767,ENSDARG00000067781,ENSDARG00000102254,ENSDARG00000056938"
"13","0.19","SMART","IGc2","3","60","270","13267","2.46","3.39e-1","1.00e+0","2.46","1.00e+0","1.00e+0","1.23e-1","ENSDARG00000006396,ENSDARG00000004597,ENSDARG00000079175"
"13","0.19","INTERPRO","Ig_sub2","3","118","270","23408","2.46","3.92e-1","1.00e+0","2.20","1.00e+0","1.00e+0","1.56e-1","ENSDARG00000006396,ENSDARG00000004597,ENSDARG00000079175"
"13","0.19","UP_KW_DOMAIN","Immunoglobulin domain","3","69","391","14291","2.46","5.59e-1","1.00e+0","1.59","1.00e+0","1.00e+0","2.92e-1","ENSDARG00000006396,ENSDARG00000004597,ENSDARG00000079175"
"13","0.19","SMART","IG","3","60","536","13267","2.46","6.95e-1","1.00e+0","1.24","1.00e+0","1.00e+0","4.39e-1","ENSDARG00000006396,ENSDARG00000004597,ENSDARG00000079175"
"13","0.19","INTERPRO","Ig_sub","3","118","536","23408","2.46","7.52e-1","1.00e+0","1.11","1.00e+0","1.00e+0","5.09e-1","ENSDARG00000006396,ENSDARG00000004597,ENSDARG00000079175"
"13","0.19","UP_SEQ_FEATURE","DOMAIN:Ig-like","3","112","544","21277","2.46","7.80e-1","1.00e+0","1.05","1.00e+0","1.00e+0","5.49e-1","ENSDARG00000006396,ENSDARG00000004597,ENSDARG00000079175"
"13","0.19","INTERPRO","Ig-like_dom","3","118","616","23408","2.46","8.17e-1","1.00e+0","0.97","1.00e+0","1.00e+0","6.04e-1","ENSDARG00000006396,ENSDARG00000004597,ENSDARG00000079175"
"13","0.19","INTERPRO","Ig-like_dom_sf","3","118","682","23408","2.46","8.59e-1","1.00e+0","0.87","1.00e+0","1.00e+0","6.72e-1","ENSDARG00000006396,ENSDARG00000004597,ENSDARG00000079175"
"13","0.19","INTERPRO","Ig-like_fold","3","118","995","23408","2.46","9.62e-1","1.00e+0","0.60","1.00e+0","1.00e+0","8.83e-1","ENSDARG00000006396,ENSDARG00000004597,ENSDARG00000079175"
"14","0.05","GOTERM_BP_DIRECT","signal transduction","6","98","1540","20756","4.92","8.55e-1","1.00e+0","0.83","1.00e+0","1.00e+0","7.44e-1","ENSDARG00000038012,ENSDARG00000028058,ENSDARG00000069028,ENSDARG00000040816,ENSDARG00000041292,ENSDARG00000026329"
"14","0.05","UP_SEQ_FEATURE","DOMAIN:G-protein coupled receptors family 1 profile","3","112","672","21277","2.46","8.70e-1","1.00e+0","0.85","1.00e+0","1.00e+0","6.91e-1","ENSDARG00000069028,ENSDARG00000040816,ENSDARG00000041292"
"14","0.05","INTERPRO","GPCR_Rhodpsn","3","118","723","23408","2.46","8.80e-1","1.00e+0","0.82","1.00e+0","1.00e+0","7.10e-1","ENSDARG00000069028,ENSDARG00000040816,ENSDARG00000041292"
"14","0.05","INTERPRO","GPCR_Rhodpsn_7TM","3","118","733","23408","2.46","8.85e-1","1.00e+0","0.81","1.00e+0","1.00e+0","7.19e-1","ENSDARG00000069028,ENSDARG00000040816,ENSDARG00000041292"
"14","0.05","GOTERM_MF_DIRECT","G protein-coupled receptor activity","3","104","887","21154","2.46","9.34e-1","1.00e+0","0.69","1.00e+0","1.00e+0","8.17e-1","ENSDARG00000069028,ENSDARG00000040816,ENSDARG00000041292"
"14","0.05","UP_KW_MOLECULAR_FUNCTION","Transducer","3","57","912","11803","2.46","9.37e-1","1.00e+0","0.68","1.00e+0","1.00e+0","8.27e-1","ENSDARG00000069028,ENSDARG00000040816,ENSDARG00000041292"
"14","0.05","GOTERM_BP_DIRECT","G protein-coupled receptor signaling pathway","3","98","942","20756","2.46","9.38e-1","1.00e+0","0.67","1.00e+0","1.00e+0","8.28e-1","ENSDARG00000069028,ENSDARG00000040816,ENSDARG00000041292"
"15","0.04","INTERPRO","Ser/Thr_kinase_AS","3","118","594","23408","2.46","8.01e-1","1.00e+0","1.00","1.00e+0","1.00e+0","5.79e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646"
"15","0.04","SMART","S_TKc","3","60","670","13267","2.46","8.06e-1","1.00e+0","0.99","1.00e+0","1.00e+0","5.90e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646"
"15","0.04","GOTERM_BP_DIRECT","protein phosphorylation","3","98","710","20756","2.46","8.49e-1","1.00e+0","0.89","1.00e+0","1.00e+0","6.56e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646"
"15","0.04","GOTERM_MF_DIRECT","protein kinase activity","3","104","713","21154","2.46","8.66e-1","1.00e+0","0.86","1.00e+0","1.00e+0","6.86e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646"
"15","0.04","INTERPRO","Protein_kinase_ATP_BS","3","118","724","23408","2.46","8.81e-1","1.00e+0","0.82","1.00e+0","1.00e+0","7.11e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646"
"15","0.04","UP_SEQ_FEATURE","DOMAIN:Protein kinase","3","112","756","21277","2.46","9.09e-1","1.00e+0","0.75","1.00e+0","1.00e+0","7.65e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646"
"15","0.04","GOTERM_MF_DIRECT","protein serine/threonine kinase activity","3","104","824","21154","2.46","9.14e-1","1.00e+0","0.74","1.00e+0","1.00e+0","7.76e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646"
"15","0.04","INTERPRO","Prot_kinase_dom","3","118","904","23408","2.46","9.44e-1","1.00e+0","0.66","1.00e+0","1.00e+0","8.39e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646"
"15","0.04","GOTERM_BP_DIRECT","phosphorylation","3","98","991","20756","2.46","9.49e-1","1.00e+0","0.64","1.00e+0","1.00e+0","8.53e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646"
"15","0.04","INTERPRO","Kinase-like_dom_sf","3","118","951","23408","2.46","9.54e-1","1.00e+0","0.63","1.00e+0","1.00e+0","8.63e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646"
"15","0.04","GOTERM_MF_DIRECT","transferase activity","7","104","2148","21154","5.74","9.57e-1","1.00e+0","0.66","1.00e+0","1.00e+0","9.14e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646,ENSDARG00000028058,ENSDARG00000040890,ENSDARG00000016706,ENSDARG00000058815"
"15","0.04","GOTERM_MF_DIRECT","kinase activity","3","104","1001","21154","2.46","9.59e-1","1.00e+0","0.61","1.00e+0","1.00e+0","8.75e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646"
"15","0.04","UP_KW_MOLECULAR_FUNCTION","Kinase","3","57","1262","11803","2.46","9.86e-1","1.00e+0","0.49","1.00e+0","1.00e+0","9.52e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646"
"15","0.04","UP_KW_MOLECULAR_FUNCTION","Transferase","7","57","2570","11803","5.74","9.90e-1","1.00e+0","0.56","1.00e+0","1.00e+0","9.78e-1","ENSDARG00000045482,ENSDARG00000020086,ENSDARG00000094646,ENSDARG00000028058,ENSDARG00000040890,ENSDARG00000016706,ENSDARG00000058815"
"16","0.01","UP_KW_BIOLOGICAL_PROCESS","Transcription regulation","6","35","2279","8466","4.92","9.71e-1","1.00e+0","0.64","1.00e+0","1.00e+0","9.39e-1","ENSDARG00000040123,ENSDARG00000077143,ENSDARG00000014825,ENSDARG00000099441,ENSDARG00000055719,ENSDARG00000098919"
"16","0.01","SMART","ZnF_C2H2","3","60","1183","13267","2.46","9.73e-1","1.00e+0","0.56","1.00e+0","1.00e+0","9.13e-1","ENSDARG00000040123,ENSDARG00000077143,ENSDARG00000014825"
"16","0.01","UP_KW_BIOLOGICAL_PROCESS","Transcription","6","35","2316","8466","4.92","9.75e-1","1.00e+0","0.63","1.00e+0","1.00e+0","9.45e-1","ENSDARG00000040123,ENSDARG00000077143,ENSDARG00000014825,ENSDARG00000099441,ENSDARG00000055719,ENSDARG00000098919"
"16","0.01","UP_SEQ_FEATURE","DOMAIN:C2H2-type","3","112","1093","21277","2.46","9.80e-1","1.00e+0","0.52","1.00e+0","1.00e+0","9.32e-1","ENSDARG00000040123,ENSDARG00000077143,ENSDARG00000014825"
"16","0.01","UP_KW_MOLECULAR_FUNCTION","DNA-binding","6","57","2126","11803","4.92","9.82e-1","1.00e+0","0.58","1.00e+0","1.00e+0","9.58e-1","ENSDARG00000040123,ENSDARG00000101161,ENSDARG00000059556,ENSDARG00000087195,ENSDARG00000077143,ENSDARG00000014825"
"16","0.01","GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II","4","98","1600","20756","3.28","9.83e-1","1.00e+0","0.53","1.00e+0","1.00e+0","9.50e-1","ENSDARG00000040123,ENSDARG00000087195,ENSDARG00000077143,ENSDARG00000014825"
"16","0.01","INTERPRO","Znf_C2H2_sf","3","118","1183","23408","2.46","9.83e-1","1.00e+0","0.50","1.00e+0","1.00e+0","9.41e-1","ENSDARG00000040123,ENSDARG00000077143,ENSDARG00000014825"
"16","0.01","INTERPRO","Znf_C2H2_type","3","118","1230","23408","2.46","9.87e-1","1.00e+0","0.48","1.00e+0","1.00e+0","9.51e-1","ENSDARG00000040123,ENSDARG00000077143,ENSDARG00000014825"
"16","0.01","GOTERM_MF_DIRECT","DNA binding","6","104","2328","21154","4.92","9.91e-1","1.00e+0","0.52","1.00e+0","1.00e+0","9.78e-1","ENSDARG00000052348,ENSDARG00000040123,ENSDARG00000101161,ENSDARG00000059556,ENSDARG00000087195,ENSDARG00000077143"

