"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"42","0.98","SMART","WW","7","772","52","13267","0.51","7.97e-2","1.00e+0","2.31","1.00e+0","1.00e+0","3.00e-2","ENSDARG00000004291,ENSDARG00000061345,ENSDARG00000074903,ENSDARG00000099199,ENSDARG00000012577,ENSDARG00000051800,ENSDARG00000008548"
"42","0.98","PIR_SUPERFAMILY","E3_ub_ligase_SMURF1","3","153","7","1890","0.22","1.03e-1","1.00e+0","5.29","1.00e+0","1.00e+0","1.43e-2","ENSDARG00000061345,ENSDARG00000074903,ENSDARG00000099199"
"42","0.98","INTERPRO","WW_dom","7","1340","57","23408","0.51","1.06e-1","1.00e+0","2.15","1.00e+0","1.00e+0","4.32e-2","ENSDARG00000004291,ENSDARG00000061345,ENSDARG00000074903,ENSDARG00000099199,ENSDARG00000012577,ENSDARG00000051800,ENSDARG00000008548"
"42","0.98","SMART","HECTc","5","772","33","13267","0.36","1.22e-1","1.00e+0","2.60","1.00e+0","1.00e+0","4.04e-2","ENSDARG00000004291,ENSDARG00000061345,ENSDARG00000074903,ENSDARG00000099199,ENSDARG00000061194"
"42","0.98","UP_SEQ_FEATURE","DOMAIN:HECT","5","1250","36","21277","0.36","1.58e-1","1.00e+0","2.36","1.00e+0","1.00e+0","5.77e-2","ENSDARG00000004291,ENSDARG00000061345,ENSDARG00000074903,ENSDARG00000099199,ENSDARG00000061194"
"42","0.98","INTERPRO","HECT_dom","5","1340","37","23408","0.36","1.59e-1","1.00e+0","2.36","1.00e+0","1.00e+0","5.82e-2","ENSDARG00000004291,ENSDARG00000061345,ENSDARG00000074903,ENSDARG00000099199,ENSDARG00000061194"
"42","0.98","INTERPRO","Hect_E3_ubiquitin_ligase","5","1340","40","23408","0.36","1.94e-1","1.00e+0","2.18","1.00e+0","1.00e+0","7.65e-2","ENSDARG00000004291,ENSDARG00000061345,ENSDARG00000074903,ENSDARG00000099199,ENSDARG00000061194"
"42","0.98","UP_SEQ_FEATURE","ACT_SITE:Glycyl thioester intermediate","7","1250","75","21277","0.51","2.77e-1","1.00e+0","1.59","1.00e+0","1.00e+0","1.51e-1","ENSDARG00000004291,ENSDARG00000069527,ENSDARG00000061345,ENSDARG00000074903,ENSDARG00000112087,ENSDARG00000099199,ENSDARG00000061194"
"43","0.96","INTERPRO","E2F-DP_heterodim","3","1340","9","23408","0.22","9.01e-2","1.00e+0","5.82","1.00e+0","1.00e+0","1.21e-2","ENSDARG00000019293,ENSDARG00000070463,ENSDARG00000103868"
"43","0.96","UP_SEQ_FEATURE","DOMAIN:E2F/DP family winged-helix DNA-binding","3","1250","9","21277","0.22","9.42e-2","1.00e+0","5.67","1.00e+0","1.00e+0","1.30e-2","ENSDARG00000019293,ENSDARG00000070463,ENSDARG00000103868"
"43","0.96","INTERPRO","E2F_WHTH_DNA-bd_dom","3","1340","11","23408","0.22","1.28e-1","1.00e+0","4.76","1.00e+0","1.00e+0","2.18e-2","ENSDARG00000019293,ENSDARG00000070463,ENSDARG00000103868"
"43","0.96","SMART","E2F_TDP","3","772","11","13267","0.22","1.31e-1","1.00e+0","4.69","1.00e+0","1.00e+0","2.28e-2","ENSDARG00000019293,ENSDARG00000070463,ENSDARG00000103868"
"44","0.93","UP_SEQ_FEATURE","DOMAIN:SAP","5","1250","25","21277","0.36","5.58e-2","1.00e+0","3.40","1.00e+0","1.00e+0","1.38e-2","ENSDARG00000004735,ENSDARG00000059357,ENSDARG00000074759,ENSDARG00000018049,ENSDARG00000007081"
"44","0.93","INTERPRO","SAP_dom","5","1340","29","23408","0.36","8.12e-2","1.00e+0","3.01","1.00e+0","1.00e+0","2.30e-2","ENSDARG00000004735,ENSDARG00000059357,ENSDARG00000074759,ENSDARG00000018049,ENSDARG00000007081"
"44","0.93","SMART","SAP","4","772","25","13267","0.29","1.75e-1","1.00e+0","2.75","1.00e+0","1.00e+0","5.43e-2","ENSDARG00000004735,ENSDARG00000059357,ENSDARG00000074759,ENSDARG00000007081"
"44","0.93","INTERPRO","SAP_dom_sf","4","1340","30","23408","0.29","2.45e-1","1.00e+0","2.33","1.00e+0","1.00e+0","8.98e-2","ENSDARG00000004735,ENSDARG00000059357,ENSDARG00000074759,ENSDARG00000007081"
"45","0.92","INTERPRO","MOB_kinase_act_sf","3","1340","9","23408","0.22","9.01e-2","1.00e+0","5.82","1.00e+0","1.00e+0","1.21e-2","ENSDARG00000019113,ENSDARG00000023214,ENSDARG00000012953"
"45","0.92","INTERPRO","MOB_kinase_act_fam","3","1340","9","23408","0.22","9.01e-2","1.00e+0","5.82","1.00e+0","1.00e+0","1.21e-2","ENSDARG00000019113,ENSDARG00000023214,ENSDARG00000012953"
"45","0.92","SMART","Mob1_phocein","3","772","9","13267","0.22","9.25e-2","1.00e+0","5.73","1.00e+0","1.00e+0","1.27e-2","ENSDARG00000019113,ENSDARG00000023214,ENSDARG00000012953"
